sample_accession	run_accession	fastq_ftp	sample_title
SAMN10656686	SRR8375274	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/004/SRR8375274/SRR8375274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/004/SRR8375274/SRR8375274_2.fastq.gz	CGND-HRA-00013
SAMN10656685	SRR8375275	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/005/SRR8375275/SRR8375275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/005/SRR8375275/SRR8375275_2.fastq.gz	CGND-HRA-00014-2
SAMN10656684	SRR8375276	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/006/SRR8375276/SRR8375276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/006/SRR8375276/SRR8375276_2.fastq.gz	CGND-HRA-00015
SAMN10656683	SRR8375277	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/007/SRR8375277/SRR8375277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/007/SRR8375277/SRR8375277_2.fastq.gz	CGND-HRA-00016
SAMN10656682	SRR8375278	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/008/SRR8375278/SRR8375278_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/008/SRR8375278/SRR8375278_2.fastq.gz	CGND-HRA-00017
SAMN10656681	SRR8375279	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/009/SRR8375279/SRR8375279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/009/SRR8375279/SRR8375279_2.fastq.gz	CGND-HRA-00018
SAMN10656680	SRR8375280	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/000/SRR8375280/SRR8375280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/000/SRR8375280/SRR8375280_2.fastq.gz	CGND-HRA-00019
SAMN10656679	SRR8375281	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/001/SRR8375281/SRR8375281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/001/SRR8375281/SRR8375281_2.fastq.gz	CGND-HRA-00020-2
SAMN10656678	SRR8375282	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/002/SRR8375282/SRR8375282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/002/SRR8375282/SRR8375282_2.fastq.gz	CGND-HRA-00021
SAMN10656677	SRR8375283	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/003/SRR8375283/SRR8375283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/003/SRR8375283/SRR8375283_2.fastq.gz	CGND-HRA-00022
SAMN10656676	SRR8375284	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/004/SRR8375284/SRR8375284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/004/SRR8375284/SRR8375284_2.fastq.gz	CGND-HRA-00023
SAMN10656675	SRR8375285	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/005/SRR8375285/SRR8375285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/005/SRR8375285/SRR8375285_2.fastq.gz	CGND-HRA-00025
SAMN10656674	SRR8375286	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/006/SRR8375286/SRR8375286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/006/SRR8375286/SRR8375286_2.fastq.gz	CGND-HRA-00026
