run_accession	fastq_ftp/
SRR8375274	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/004/
SRR8375275	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/005/
SRR8375276	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/006/
SRR8375277	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/007/
SRR8375278	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/008/
SRR8375279	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/009/
SRR8375280	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/000/
SRR8375281	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/001/
SRR8375282	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/002/
SRR8375283	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/003/
SRR8375284	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/004/
SRR8375285	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/005/
SRR8375286	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/006/
SRR8375287	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/007/
SRR8375288	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/008/
SRR8375289	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/009/
SRR8375290	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/000/
SRR8375291	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/001/
SRR8375292	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/002/
SRR8375293	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/003/
SRR8375294	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/004/
SRR8375295	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/005/
SRR8375296	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/006/
SRR8375297	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/007/
SRR8375298	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/008/
SRR8375299	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/009/
SRR8375300	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/000/
SRR8375301	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/001/
SRR8375302	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/002/
