"","(none)","Astrocytes","Interneurons","Microglia","Oligodendrocyte Precursor","Oligodendrocytes","Pericytes","Pyramidal Neurons","Vascular and Leptomeningeal Cells","Vascular Endothelial","Vascular Smooth Muscle Cell"
"SRR8375287",0.0670427433902313,0,0.00320946065864743,0,0.0930069505231949,0.297955105196712,0,0.363929541753626,0.0461048477087992,0.00554920724983014,0.123202143518958
"SRR8375288",0.0484431092343539,0,0.0547324596847668,0,0.191935582839716,0.208163773409527,0,0.496725074831636,0,0,0
"SRR8375289",0.0168656852485999,0,0.0049951984492763,0,0.182145801327072,0.218783734475578,0,0.326291972469597,0.169317388061832,0,0.081600219968045
"SRR8375290",0.071670995362797,0.0615722968759709,0,0.0598969639821929,0.286301581539756,0.271421126828808,0.101574483478096,0.0325032505600898,0.115059301372289,0,0
"SRR8375291",0.0590397639259891,0,0,0,0.172588735197472,0.360288052838331,0.0322687699392779,0.37581467809893,0,0,0
"SRR8375292",0.0605953861395591,0,0.0784448307529109,0,0.203570431679706,0.306368985753142,0.00865498709466592,0.254601609615313,0.0152060382451584,0.0493579009157592,0.0231998298037854
"SRR8375293",0,0,0.0902488461057255,0,0.033199057765145,0.325686376262552,0,0.550865719866578,0,0,0
"SRR8375294",0,0.0285603232307858,0.0480488088964904,0,0.0300785078262092,0.247418290405861,0.0504551185767558,0.557436548200244,0,0,0.0380024028636538
"SRR8375296",0.0638007749035687,0,0.0330957019592478,0,0,0.574578918449441,0,0.231678987382257,0.0313621209675073,0.0434408741254182,0.0220426222125603
"SRR8375297",0,0.0271179807934433,0.186574702459985,0,0,0.292907432719327,0.0040562948950944,0.48934358913215,0,0,0
"SRR8375298",0,0,0.0195898449797837,0,0,0.975213615862273,0,0.00519653915794298,0,0,0
"SRR8375299",0.0791605395703583,0,0.00813359993398945,0,0.133828678646223,0.624583042399468,0,0.0112829676376639,0.0419739397260912,0,0.101037232086205
"SRR8375300",0,0,0,0,0,0.999999999999999,0,0,0,0,0
"SRR8375301",0,0.0333207241373626,0.0518115221463492,0,0.148362198161074,0.231038013782237,0,0.399586715720892,0.00847799196492871,0.10578136076306,0.0216214733240957
"SRR8375302",0,0,0,0,0,1,0,0,0,0,0
"SRR8375304",0.0685647593695867,0,0,0,0.0351983254898722,0.350073798050362,0,0.25373633886032,0.107692331452147,0.0189679791827271,0.165766467594985
"SRR8375305",0,0.0324862150012272,0.138327208955219,0.0404175219311118,0,0.276632535109366,0,0.512136519003075,0,0,0
"SRR8375306",0,0.221743425602102,0,0.0217424348140114,0.125231393308828,0.336939024473023,0.0212304033161269,0.273113318485909,0,0,0
