"","(none)","Astrocytes","Interneurons","Microglia","Oligodendrocyte Precursor","Oligodendrocytes","Pericytes","Pyramidal Neurons","Vascular and Leptomeningeal Cells","Vascular Endothelial","Vascular Smooth Muscle Cell"
"GSM462446",0,0,0.0165054907509325,0,0,0.983494509249068,0,0,0,0,0
"GSM462447",0,0,0.702609606956413,0,0,0.204364897077483,0,0.0930254959661038,0,0,0
"GSM462448",0,0,0,0,0,1,0,0,0,0,0
"GSM462449",0,0,0,0,0,0.999999999999999,0,0,0,0,0
"GSM462450",0,0,0,0,0,1,0,0,0,0,0
"GSM462451",0,0,0.336003731974781,0,0,0.66399626802522,0,0,0,0,0
"GSM462452",0,0.0113444128778229,0.168954200720453,0.0768265479018305,0.0381832673560251,0.320723157475555,0.0069845501891215,0.376983863479192,0,0,0
"GSM462453",0.111982174506758,0,0.191188644305694,0,0.480438009783387,0.0260527032084776,0,0.0910274086900906,0.0116438360693909,0.0394216859179678,0.0482455375182334
"GSM462454",0,0,0,0,0,0.999999999999998,0,0,0,0,0
"GSM462455",0.0851304043442926,0.00180968294614552,0,0,0.443186052650295,0.239773735015295,0,0.0212818325663514,0.0014251355232854,0,0.207393156954334
"GSM462456",0,0,0,0,0.0213542871737971,0.466913715095179,0,0,0,0,0.511731997731023
"GSM462457",0,0,0,0,0,0.999999999999998,0,0,0,0,0
"GSM462458",0,0,0,0,0,1,0,0,0,0,0
"GSM462459",0,0.0088566084233135,0.172943443600487,0,0,0.567679000787012,0,0.250520947189188,0,0,0
"GSM462460",0.00269142770884667,0,0.0862756415943926,0,0.217936898758692,0.214868185749585,0.0638793895525962,0.401150326421565,0.0131981302143226,0,0
"GSM462461",0,0,0.183195522932781,0,0.277842704015757,0.258886116413705,0.0203034707983041,0.250496656996383,0,0,0.00927552884307028
"GSM462462",0.0304373888048008,0,0,0,0.292976701605527,0.398594970555169,0,0,0,0,0.277990939034503
"GSM462463",0,0.0298779952371522,0,0,0.190152102764503,0.557498555677563,0,0.050375264434522,0,0,0.172096081886259
"GSM462464",0,0,0,0,0,0.969423306219916,0,0,0,0,0.0305766937800823
"GSM462465",0,0.00135479117015427,0.196385691388098,0.0587384504456416,0.151161090188241,0.184429803553688,0,0.40245825994733,0.00547191330684745,0,0
"GSM462466",0,0,0,0,0.139235120136063,0,0,0,0.0186351946851461,0,0.842129685178791
"GSM462467",0,0,0.311871120892479,0,0,0.688128879107521,0,0,0,0,0
"GSM462468",0,0,0,0,0,1,0,0,0,0,0
"GSM462469",0,0,0.131728086742235,0,0,0.868271913257765,0,0,0,0,0
"GSM462470",0.00628424618898887,0,0.267931868979362,0,0.178477443997344,0.468565305087618,0,0.078741135746687,0,0,0
"GSM462471",0,0,0.490171317190625,0,0,0.509828682809375,0,0,0,0,0
"GSM462472",0,0,0.391868518936818,0,0,0.608131481063182,0,0,0,0,0
"GSM462473",0,0,0.257028292505486,0,0,0.742971707494514,0,0,0,0,0
"GSM462474",0,0,0.105479770023094,0,0.45675253058002,0.203906533630958,0,0,0.0720023371269097,0.0404462212720778,0.121412607366941
"GSM462475",0.0316861719794468,0.0181316411963924,0,0,0.0466734448597543,0.700790973165788,0.0284235517108864,0.043114448510456,0.0401791940184577,0,0.0910005745588179
"GSM462476",0.0270526903444301,0,0.160256055884885,0.0290616324939449,0.402346315965475,0.0819681376450326,0,0.0581718871423534,0.110255216382576,0.0327379347427571,0.0981501293985454
"GSM462477",0.085876560906014,0,0,0,0.277334441721513,0.456934732161453,0,0,0,0,0.179854265211019
"GSM462478",0,0,0.337455551489565,0,0,0.424704015049629,0,0.1618566094791,0.0723373104424218,0.00364651353928372,0
"GSM462479",0,0,0,0,0,0.77027108579441,0,0,0,0,0.229728914205589
"GSM462480",0,0.0803961929805685,0.122892810261096,0.0923358024771951,0,0.475774402625674,0,0.174139788448565,0.0544610032069013,0,0
"GSM462481",0,0,0,0,0,1,0,0,0,0,0
"GSM462482",0,0,0.207979699213511,0.216064126089922,0,0.543473377268127,0,0.0167809181437934,0.0157018792846456,0,0
"GSM462483",0,0,0.615547976873379,0.329238354783933,0,0,0,0,0.0552136683426877,0,0
"GSM462484",0,0,0.448607425904207,0,0,0.551392574095794,0,0,0,0,0
"GSM462485",0,0.290632957799625,0,0.0331698850385584,0,0,0,0,0.262928061067798,0,0.413269096094019
"GSM462486",0,0.269509767558331,0,0.052382089965604,0,0.551273120256287,0,0,0.0338306350979087,0,0.0930043871218687
"GSM462487",0,0,0,0,0,0.535841018315628,0,0,0.0259725044095587,0,0.438186477274813
