"","(none)","Astrocytes","Interneurons","Microglia","Oligodendrocyte Precursor","Oligodendrocytes","Pericytes","Pyramidal Neurons","Vascular and Leptomeningeal Cells","Vascular Endothelial","Vascular Smooth Muscle Cell"
"GSM462446",0,0.196559423593003,0,0,0,0.382815165062003,0,0.293086811448104,0,0.127538599896889,0
"GSM462447",0,0,0.521016630043913,0.0412112519495379,0.0134810350332763,0,0,0.302506509198388,0,0.121784573774884,0
"GSM462448",0,0,0.400055388497852,0,0,0.599944611502148,0,0,0,0,0
"GSM462449",0.138292375646563,0,0.024366820191195,0,0.0174869681555007,0.385521672374571,0.287963299605533,0.0886523010276743,0,0.0577165629989628,0
"GSM462450",0,0.0323777848931365,0.069856795779665,0,0,0.439285865920258,0.163560707037854,0.0995385702806034,0.138177872817802,0.0572024032706811,0
"GSM462451",0,0,0.34172834607663,0.0516525248237019,0.0123508898804753,0.205105596535029,0,0.188140571824426,0.081245615937676,0.119776454922061,0
"GSM462452",0,0.118042644682113,0.216209206686989,0.10441805551448,0,0,0.195969582520881,0.281893363305641,0,0.0834671472898942,0
"GSM462453",0.187543317514519,0,0.363477858400743,0.0745443462062274,0,0,0.198663978024901,0,0,0.138171409666802,0.0375990901868064
"GSM462454",0,0.198152398417381,0,0,0,0.523972765820755,0,0,0,0,0.277874835761863
"GSM462455",0.221074200902618,0.0769429550947488,0.152343475650678,0.0440516896058429,0.00287410398752924,0,0.258576841600792,0,0,0,0.244136733157791
"GSM462456",0.350299505711952,0,0,0,0.129075992646773,0,0.0127430848276465,0,0,0,0.507881416813628
"GSM462457",0.108908023760871,0.0554940020021032,0,0,0,0.481813263064641,0.192485049679426,0.0679811276094523,0,0,0.0933185338835065
"GSM462458",0,0.110028137325658,0,0,0,0.322152193616322,0,0,0,0,0.567819669058021
"GSM462459",0,0.227900265876169,0.187929479385125,0.0153106968969278,0,0.0726028470969069,0.214085388518886,0.20605256282837,0.0523602789782742,0.0237584804193395,0
"GSM462460",0.0873208228988114,0,0.240252034123525,0.0416012059152783,0,0,0.394140095348689,0.224978602454195,0,0.0117072392595,0
"GSM462461",0,0,0.298364780445301,0,0,0,0.08309752940064,0.286376656407304,0,0.0366112516986352,0.295549782048119
"GSM462462",0.295669939471558,0.0249793388052947,0.0252700943554061,0,0.161634455862657,0,0.249239265927123,0,0.00917239859964653,0,0.234034506978314
"GSM462463",0.163442726259426,0.136366804697189,0,0,0.205114320790315,0.0506182362509221,0.211658800787205,0.0549062703964048,0,0,0.177892840818537
"GSM462464",0.198483700415266,0.0916949011026468,0,0,0,0.30652178044875,0,0,0,0,0.403299618033337
"GSM462465",0,0.0997732220822625,0.31166942143444,0.0576768924000405,0,0,0.165986773345967,0.272166829735751,0,0.0927268610015392,0
"GSM462466",0.331191442978934,0,0,0,0,0,0.148871762404831,0,0,0,0.519936794616235
"GSM462467",0,0,0.276888987043757,0.0543587335104775,0.113529014437664,0.138001144310861,0,0.0792287729078044,0.0909444214890085,0.0975763967556497,0.149472529544778
"GSM462468",0.10688378385249,0.068677988291722,0.105731304944661,0,0.0242611352539563,0.38419641822774,0.123352309332083,0,0.0397302888319182,0.0432136899653832,0.103953081300046
"GSM462469",0.129249940714741,0,0.267081624447859,0,0.0418848115668354,0.310565667009376,0.0755827105423751,0.020247487159044,0.0506218618369426,0.104765896722826,0
"GSM462470",0.254310930769382,0,0.286210124546069,0.0713344187393733,0.282578491145641,0,0,0,0,0.00913828718147497,0.0964277476180597
"GSM462471",0,0,0.402745054102454,0.0620038250440966,0.179478186475476,0.0704279658638163,0,0.147366465348739,0.0665819776289402,0.0713965255364779,0
"GSM462472",0,0.00513751813271203,0.297775949872051,0.0274959139156624,0.15594479230834,0.125739767741245,0,0.159187252513356,0.0284478987926149,0.200270906724018,0
"GSM462473",0,0.0615879275502897,0.222005605065756,0,0,0.19106631321071,0,0.119843211849187,0.106140449098894,0.217330445652913,0.082026047572249
"GSM462474",0.0388191868781265,0,0.230781675396112,0,0.00176487849672338,0,0.289792866930633,0,0.124068499645801,0.143775855208752,0.170997037443851
"GSM462475",0.0483370152822893,0.0717582621238923,0.0428777813513573,0.0441916342926951,0.0289749256504398,0.139829558490775,0.317038529247167,0,0.169872555613579,0.0204193680020422,0.116700369945762
"GSM462476",0.0621068847165235,0.0200611981987613,0.307335499551658,0.0933445425611415,0,0,0.0305955177793844,0,0.162417894317595,0.2090006635209,0.115137799354036
"GSM462477",0.176239711729561,0.0230238510500047,0.0812197569027994,0,0.181556750521583,0,0.0718971910762862,0,0.0336489039054481,0.135498664567025,0.296915170247293
"GSM462478",0,0,0.371711541672585,0,0,0,0,0.0890657872232839,0.203634734429949,0.244640845679602,0.0909470909945808
"GSM462479",0,0.143594202895654,0,0,0,0.173479718824096,0,0,0.246237114315075,0,0.436688963965175
"GSM462480",0,0.268541634241709,0.129558887084132,0.17382550457944,0,0.00219687882328885,0,0.127509861864757,0.248828329023966,0.0495389043827065,0
"GSM462481",0,0.179843923011892,0.0741261915172389,0.0805287527851892,0,0.442027364852332,0,0.0940870269720173,0.129386740861331,0,0
"GSM462482",0,0.0642531462590017,0.0344973923287513,0.451570862489628,0,0.043229024175775,0,0.166191512615733,0.240258062131111,0,0
"GSM462483",0,0,0.533122543505329,0.365090789422264,0,0,0,0,0.101786667072407,0,0
"GSM462484",0,0,0.306665596770651,0.339273545032075,0,0.0730009644381879,0,0.118393132748853,0.162666761010234,0,0
"GSM462485",0,0.314671994748391,0,0.197752341300633,0,0,0,0,0.487575663950976,0,0
"GSM462486",0,0.369828440985857,0,0.314207282627595,0,0.0393319238065557,0,0,0.196026015085067,0,0.0806063374949241
"GSM462487",0,0.102638444150827,0,0,0,0.0184954261143988,0,0,0.466318797117919,0,0.412547332616853
