TNC	Tnc
HIST1H2AH	Hist1h2ah
PRICKLE1	Prickle1
AQP1	Aqp1
FAM105A	Fam105a
GPNMB	Gpnmb
ANO6	Ano6
DOK5	Dok5
C3	C3
APLNR	Aplnr
HSPB8	Hspb8
ADCY8	Adcy8
EDNRB	Ednrb
CALCRL	Calcrl
GNAT2	Gnat2
FCER1G	Fcer1g
ASAH1	Asah1
SSR3	Ssr3
CD248	Cd248
SLC7A2	Slc7a2
MAOB	Maob
VAMP8	Vamp8
SFRP4	Sfrp4
PCDHB7	Pcdhb15
SBSPON	Sbspon
SYNPO2	Synpo2
CD68	Cd68
IDNK	Idnk
DCN	Dcn
DDAH1	Ddah1
FERMT2	Fermt2
LAMA4	Lama4
ARHGDIB	Arhgdib
MATN2	Matn2
PSAP	Psap
PIRT	Pirt
CPNE8	Cpne8
TJP2	Tjp2
STK38L	Stk38l
HIST1H2AE	Hist1h2ai
PNPO	Pnpo
CTSS	Ctss
PHKA1	Phka1
TMEM200A	Tmem200a
PPP2CB	Ppp2cb
SLC35B2	Slc35b2
CXCL16	Cxcl16
WAS	Was
NKAIN3	Nkain3
EMC7	Emc7
TMEM150C	Tmem150c
SLC3A2	Slc3a2
RBBP8	Rbbp8
CTNND2	Ctnnd2
B3GAT2	B3gat2
ATP6V0E1	Atp6v0e
TCTN3	Tctn3
KDELR2	Kdelr2
OR9A4	Olfr460
PRKCA	Prkca
ABI1	Abi1
FBXW2	Fbxw2
ING2	Ing2
SLC24A3	Slc24a3
ITGA6	Itga6
POLR2G	Polr2g
OGFRL1	Ogfrl1
SLC31A1	Slc31a1
AQP4	Aqp4
STOM	Stom
ALDH1A1	Aldh1a1
IGLON5	Iglon5
PPP1R1A	Ppp1r1a
PBLD	Pbld1
PIK3C2A	Pik3c2a
FTH1	Fth1
RBM20	Rbm20
PIP4K2C	Pip4k2c
RFX4	Rfx4
CKAP4	Ckap4
HCN2	Hcn2
CLNS1A	Clns1a
C7	C7
PSAT1	Psat1
CPVL	Cpvl
STT3A	Stt3a
SLC25A30	Slc25a30
TLR8	Tlr8
EIF3I	Eif3i
DAAM1	Daam1
CETN2	Cetn2
ACOX1	Acox1
TRIAP1	Triap1
COL14A1	Col14a1
RXRG	Rxrg
KCNK9	Kcnk9
CFI	Cfi
PROS1	Pros1
TC2N	Tc2n
GSTM3	Gstm5
RGS1	Rgs1
THBS2	Thbs2
PATL1	Patl1
FGL2	Fgl2
RSPH1	Rsph1
CD9	Cd9
CD86	Cd86
ADAMTS1	Adamts1
ABCA1	Abca1
MFSD1	Mfsd1
OLR1	Olr1
PPCS	Ppcs
FBXL7	Fbxl7
ZNF22	Zfp422
TEX2	Tex2
PGAM1	Pgam1
CYP1B1	Cyp1b1
CCDC80	Ccdc80
RAB1A	Rab1a
B2M	B2m
SAMSN1	Samsn1
BBOX1	Bbox1
EZR	Ezr
MAN1C1	Man1c1
FNDC3B	Fndc3b
MANEA	Manea
SPTSSA	Sptssa
TINF2	Tinf2
TMEM19	Tmem19
PTPRZ1	Ptprz1
MSR1	Msr1
SERTAD1	Sertad1
PLK1	Plk1
HS2ST1	Hs2st1
GAN	Gan
LEO1	Leo1
CD44	Cd44
HCCS	Hccs
GLG1	Glg1
GABRG1	Gabrg1
KCNAB3	Kcnab3
SLC43A3	Slc43a3
EFEMP1	Efemp1
C12orf4	D6Wsu163e
DENND5A	Dennd5a
SUMO3	Sumo3
NDUFC1	Ndufc1
NAMPT	Nampt
C1QTNF7	C1qtnf7
THG1L	Thg1l
JRKL	Jrkl
ZFX	Zfx
OR2S2	Olfr155
LSM5	Lsm5
HGF	Hgf
CHUK	Chuk
TIMP1	Timp1
STOX1	Stox1
RRAGD	Rragd
ARL14EP	Arl14ep
RGMA	Rgma
IL13RA1	Il13ra1
MMD	Mmd
CD74	Cd74
GGCT	Ggct
LPCAT2	Lpcat2
BIRC3	Birc3
PAMR1	Pamr1
ANKRD13A	Ankrd13a
TLR3	Tlr3
ASTN1	Astn1
NCOA1	Ncoa1
SNX7	Snx7
RAB11FIP2	Rab11fip2
ASAH2	Asah2
BHMT2	Bhmt2
SLC16A9	Slc16a9
PMP22	Pmp22
CD109	Cd109
YME1L1	Yme1l1
SORL1	Sorl1
PALB2	Palb2
SUPT16H	Supt16
VCAN	Vcan
ERP44	Erp44
RALGPS2	Ralgps2
LAMP2	Lamp2
USP53	Usp53
HERPUD1	Herpud1
GP1BB	Gp1bb
UTRN	Utrn
CSTB	Cstb
AZIN1	Azin1
LAPTM5	Laptm5
GPRASP1	Gprasp1
SLC38A1	Slc38a1
KLHL36	Klhl36
NUP205	Nup205
ADAMTS9	Adamts9
RAB11A	Rab11a
ALDH9A1	Aldh9a1
IMPA1	Impa1
UST	Ust
PICALM	Picalm
MLIP	Mlip
CCDC127	Ccdc127
MAPK1IP1L	Mapk1ip1l
CCDC91	Ccdc91
TM9SF3	Tm9sf3
MFSD5	Mfsd5
MPZL2	Mpzl2
IMPAD1	Impad1
C3orf62	1700102P08Rik
OPTN	Optn
DNAJB11	Dnajb11
JAM2	Jam2
AHR	Ahr
SLC2A3	Slc2a3
LTBP1	Ltbp1
NMD3	Nmd3
TEKT1	Tekt1
SLC16A2	Slc16a2
GLA	Gla
SLC39A12	Slc39a12
OSBPL11	Osbpl11
VCP	Vcp
C9orf64	2210016F16Rik
LPL	Lpl
RDH10	Rdh10
HIF1A	Hif1a
NR4A2	Nr4a2
AIMP2	Aimp2
APOBR	Apobr
CAPN5	Capn5
PROSER1	Proser1
PAWR	Pawr
IL18R1	Il18r1
KLF4	Klf4
DNER	Dner
ACSM5	Acsm5
MARS2	Mars2
SPTLC3	Sptlc3
CRYL1	Cryl1
POLD3	Pold3
PLA2G7	Pla2g7
APOE	Apoe
PTPRC	Ptprc
RPL13A	Rpl13a
TMTC3	Tmtc3
GLIS3	Glis3
HSPA5	Hspa5
LUZP2	Luzp2
CRABP1	Crabp1
ARCN1	Arcn1
IL1RAPL1	Il1rapl1
RAB21	Rab21
PARD6A	Pard6a
STEAP2	Steap2
MACC1	Macc1
AKR1B1	Akr1b3
PGM1	Pgm2
BAG1	Bag1
AEBP1	Aebp1
MTCH2	Mtch2
ODC1	Odc1
CYP4F11	Cyp4f40
DSC2	Dsc2
CHI3L1	Chil1
NDFIP2	Ndfip2
DDR2	Ddr2
RBM18	Rbm18
F3	F3
HADH	Hadh
ACSBG1	Acsbg1
URM1	Urm1
C1orf216	5730409E04Rik
FKBP14	Fkbp14
RPL15	Rpl15
HFE	Hfe
SOCS4	Socs4
GFAP	Gfap
CTSC	Ctsc
HOXC10	Hoxc10
MGAT5	Mgat5
TMBIM1	Tmbim1
LIX1	Lix1
SMARCA1	Smarca1
CD48	Cd48
ZDBF2	Zdbf2
DPP10	Dpp10
CNTN1	Cntn1
AGT	Agt
PPT1	Ppt1
UNC13A	Unc13a
SCIN	Scin
TMOD1	Tmod1
CROT	Crot
YWHAB	Ywhab
TRAPPC3	Trappc3
CDH11	Cdh11
RALA	Rala
TXLNB	Txlnb
TMEM176B	Tmem176b
RSL1D1	Rsl1d1
TRIQK	Triqk
PLXDC2	Plxdc2
TPST1	Tpst1
RAB7A	Rab7
SLC40A1	Slc40a1
SLC25A28	Slc25a28
DTWD2	Dtwd2
STAM	Stam
NYAP2	Nyap2
MTFR1	Mtfr1
EDEM1	Edem1
C11orf52	2310030G06Rik
UBE2J1	Ube2j1
PANX1	Panx1
CYFIP1	Cyfip1
PCDH18	Pcdh18
SLC9A3R1	Slc9a3r1
TREM2	Trem2
GM2A	Gm2a
KBTBD7	Kbtbd7
SMC2	Smc2
GNA13	Gna13
PADI2	Padi2
FAM171B	Fam171b
SAMHD1	Samhd1
TM6SF1	Tm6sf1
KDSR	Kdsr
GLIPR1	Glipr1
SAT1	Sat1
SIK3	Sik3
TMEM245	Tmem245
FECH	Fech
ONECUT1	Onecut1
KRAS	Kras
KIF16B	Kif16b
RIOK2	Riok2
NIN	Nin
DNAJC3	Dnajc3
DTNA	Dtna
MTM1	Mtm1
TGFB2	Tgfb2
PRPF4	Prpf4
OSBPL2	Osbpl2
ARL1	Arl1
RUSC2	Rusc2
ARF4	Arf4
RPE65	Rpe65
SMAD9	Smad9
CLIC1	Clic1
TAAR1	Taar1
REEP3	Reep3
SSFA2	Ssfa2
LGMN	Lgmn
GNAI3	Gnai3
KRT12	Krt12
PFKFB3	Pfkfb3
ADPRH	Adprh
NDUFA1	Ndufa1
RASSF8	Rassf8
C12orf71	1700034J05Rik
SEPT11	Sept11
ANXA1	Anxa1
COLEC12	Colec12
PIAS4	Pias4
APPBP2	Appbp2
CD14	Cd14
CREM	Crem
ATL3	Atl3
TOX	Tox
PLS3	Pls3
FAM189A2	Fam189a2
EFNB2	Efnb2
ABCC9	Abcc9
CALU	Calu
TGFBI	Tgfbi
APOOL	Apool
FUCA1	Fuca1
TMBIM6	Tmbim6
RIPK2	Ripk2
ADAMTSL3	Adamtsl3
PSMC3IP	Psmc3ip
UBE2C	Ube2c
ST8SIA4	St8sia4
CKAP5	Ckap5
TWISTNB	Twistnb
MTNR1B	Mtnr1b
ZNF622	Zfp622
SLC29A4	Slc29a4
SEL1L	Sel1l
MSN	Msn
DUSP16	Dusp16
KCTD12	Kctd12
BHLHE40	Bhlhe40
FRRS1L	Frrs1l
GPD1L	Gpd1l
ACAA2	Acaa2
MRPL33	Mrpl33
KCNA4	Kcna4
JAZF1	Jazf1
SP1	Sp1
UBR7	Ubr7
NAGA	Naga
GDPD2	Gdpd2
DLST	Dlst
SNW1	Snw1
PMP2	Pmp2
TLR1	Tlr1
FGF2	Fgf2
ADIPOR1	Adipor1
OR9G4	Olfr1006
ELAVL3	Elavl3
SLC25A35	Slc25a35
PRMT3	Prmt3
TMEM147	Tmem147
HBEGF	Hbegf
CCDC85A	Ccdc85a
GOLT1B	Golt1b
PPP1R3C	Ppp1r3c
TCF19	Tcf19
RP2	Rp2
ACSS3	Acss3
LRRC55	Lrrc55
ABL1	Abl1
RNF212	Rnf212
LIN7C	Lin7c
TASP1	Tasp1
GTF2E1	Gtf2e1
IFI30	Ifi30
PRDM1	Prdm1
FAR2	Far2
CLTC	Cltc
TMEM106B	Tmem106b
RPL23	Rpl23
SRPX	Srpx
PIGK	Pigk
CHL1	Chl1
BMPR1B	Bmpr1b
ADD3	Add3
PHYHIPL	Phyhipl
XPNPEP1	Xpnpep1
DDX21	Ddx21
TRPS1	Trps1
RAB8A	Rab8a
ARHGAP18	Arhgap18
OR4C13	Olfr1257
HSD17B10	Hsd17b10
TOX4	Tox4
NARS	Nars
RPLP0	Rplp0
RBM22	Rbm22
HMG20A	Hmg20a
TIMM10	Timm10
