Gene stable ID	Gene name	Transcript length (including UTRs and CDS)
ENSG00000273850	PPP2R3B	2181
ENSG00000273850	PPP2R3B	1090
ENSG00000273850	PPP2R3B	5803
ENSG00000273850	PPP2R3B	713
ENSG00000273850	PPP2R3B	732
ENSG00000273850	PPP2R3B	519
ENSG00000273850	PPP2R3B	1998
ENSG00000273850	PPP2R3B	458
ENSG00000273850	PPP2R3B	408
ENSG00000273850	PPP2R3B	782
ENSG00000276438	PPP2R3B	2151
ENSG00000276438	PPP2R3B	1090
ENSG00000276438	PPP2R3B	5802
ENSG00000276438	PPP2R3B	713
ENSG00000276438	PPP2R3B	732
ENSG00000276438	PPP2R3B	519
ENSG00000276438	PPP2R3B	1998
ENSG00000276438	PPP2R3B	458
ENSG00000276438	PPP2R3B	408
ENSG00000276438	PPP2R3B	782
ENSG00000169789	PRY	1238
ENSG00000169789	PRY	1353
ENSG00000129862	VCY1B	540
ENSG00000114374	USP9Y	2417
ENSG00000114374	USP9Y	5284
ENSG00000114374	USP9Y	9640
ENSG00000114374	USP9Y	882
ENSG00000114374	USP9Y	10036
ENSG00000114374	USP9Y	787
ENSG00000114374	USP9Y	9118
ENSG00000114374	USP9Y	909
ENSG00000114374	USP9Y	2410
ENSG00000169807	PRY2	1238
ENSG00000169807	PRY2	1353
ENSG00000198692	EIF1AY	1339
ENSG00000198692	EIF1AY	855
ENSG00000198692	EIF1AY	746
ENSG00000198692	EIF1AY	3148
ENSG00000198692	EIF1AY	641
ENSG00000183753	BPY2	559
ENSG00000183753	BPY2	1206
ENSG00000183753	BPY2	1010
ENSG00000183753	BPY2	321
ENSG00000238074	TSPY9P	945
ENSG00000236424	TSPY10	1161
ENSG00000236424	TSPY10	1125
ENSG00000236424	TSPY10	1895
ENSG00000236424	TSPY10	582
ENSG00000169763	PRYP3	1063
ENSG00000234414	RBMY1A1	1921
ENSG00000234414	RBMY1A1	1718
ENSG00000234414	RBMY1A1	1879
ENSG00000234414	RBMY1A1	1491
ENSG00000258992	TSPY1	1161
ENSG00000258992	TSPY1	1171
ENSG00000099715	PCDH11Y	4710
ENSG00000099715	PCDH11Y	4824
ENSG00000099715	PCDH11Y	329
ENSG00000099715	PCDH11Y	536
ENSG00000099715	PCDH11Y	4595
ENSG00000099715	PCDH11Y	4220
ENSG00000099715	PCDH11Y	9039
ENSG00000226941	RBMY1J	1717
ENSG00000226941	RBMY1J	1886
ENSG00000280969	RPS4Y2	848
ENSG00000242875	RBMY1B	1921
ENSG00000242875	RBMY1B	1718
ENSG00000242875	RBMY1B	1491
ENSG00000172288	CDY1	2177
ENSG00000172288	CDY1	2321
ENSG00000244395	RBMY1D	1718
ENSG00000244395	RBMY1D	1921
ENSG00000244395	RBMY1D	1491
ENSG00000183795	BPY2B	559
ENSG00000183795	BPY2B	1206
ENSG00000183795	BPY2B	1010
ENSG00000183795	BPY2B	321
ENSG00000169953	HSFY2	1038
ENSG00000169953	HSFY2	1476
ENSG00000169953	HSFY2	1390
ENSG00000169953	HSFY2	1444
ENSG00000012817	KDM5D	5501
ENSG00000012817	KDM5D	6825
ENSG00000012817	KDM5D	5579
ENSG00000012817	KDM5D	5134
ENSG00000012817	KDM5D	5235
ENSG00000012817	KDM5D	4701
ENSG00000012817	KDM5D	880
ENSG00000012817	KDM5D	792
ENSG00000012817	KDM5D	856
ENSG00000012817	KDM5D	1336
ENSG00000172468	HSFY1	1395
ENSG00000172468	HSFY1	1038
ENSG00000172468	HSFY1	1476
ENSG00000172468	HSFY1	1374
ENSG00000176679	TGIF2LY	879
ENSG00000176679	TGIF2LY	927
ENSG00000169800	RBMY1F	1862
ENSG00000169800	RBMY1F	1718
ENSG00000169800	RBMY1F	1810
ENSG00000182415	CDY2A	1960
ENSG00000172352	CDY1B	2321
ENSG00000172352	CDY1B	2227
ENSG00000185894	BPY2C	1206
ENSG00000185894	BPY2C	1010
ENSG00000185894	BPY2C	321
ENSG00000185894	BPY2C	559
ENSG00000205916	DAZ4	3277
ENSG00000205916	DAZ4	3910
ENSG00000205916	DAZ4	3271
ENSG00000205916	DAZ4	4272
ENSG00000205916	DAZ4	2405
ENSG00000205916	DAZ4	1891
ENSG00000205916	DAZ4	2048
ENSG00000205916	DAZ4	1832
ENSG00000129873	CDY2B	1961
ENSG00000184895	SRY	828
ENSG00000129824	RPS4Y1	1189
ENSG00000129824	RPS4Y1	811
ENSG00000129824	RPS4Y1	998
ENSG00000129824	RPS4Y1	454
ENSG00000067646	ZFY	5113
ENSG00000067646	ZFY	5336
ENSG00000067646	ZFY	2273
ENSG00000067646	ZFY	678
ENSG00000067646	ZFY	567
ENSG00000067646	ZFY	3464
ENSG00000067646	ZFY	803
ENSG00000067048	DDX3Y	2709
ENSG00000067048	DDX3Y	1049
ENSG00000067048	DDX3Y	528
ENSG00000067048	DDX3Y	4408
ENSG00000067048	DDX3Y	792
ENSG00000067048	DDX3Y	507
ENSG00000067048	DDX3Y	572
