"","Astrocytes","Interneurons","Microglia","Oligodendrocyte Precursor","Oligodendrocytes","Pericytes","Pyramidal Neurons","Vascular and Leptomeningeal Cells","Vascular Endothelial","Vascular Smooth Muscle Cell"
"SRR8375287",0,0.0508149876504384,0,0,0,0,0.206306704761018,0.0931864905568481,0.104548474942042,0.545143342089653
"SRR8375288",0,0.112082603941593,0.034880372888843,0.114484132515224,0,0.257907236141597,0.461171437331884,0,0.019474217180859,0
"SRR8375289",0,0.0158161194251689,0,0,0,0,0.173680894193012,0.358005594993275,0,0.452497391388545
"SRR8375290",0.127277205201025,0,0.181910412203324,0,0,0.347064353690606,0,0.231699295288609,0,0.112048733616436
"SRR8375291",0,0.0271508732473491,0,0.174552893686671,0,0.245058993574311,0.39119182326754,0,0.150720211531463,0.0113252046926657
"SRR8375292",0,0.0885225766239089,0,0.119550333022513,0,0.0532286366141533,0.247239622783638,0.0182604686678892,0.250517799191417,0.22268056309648
"SRR8375293",0.0973877567876948,0.174283177683416,0,0,0,0.22824510971318,0.41877988001579,0,0.0813040757999188,0
"SRR8375294",0.124979662746979,0.16203306175515,0,0,0,0.243891934739507,0.250958022054683,0,0,0.21813731870368
"SRR8375296",0,0.0597544762466284,0,0.00456315328516653,0.0909161678047974,0,0.188794295707927,0.148780261275526,0.277667566183922,0.229524079496032
"SRR8375297",0.132047197686496,0.371458460272238,0.0255306056893556,0,0,0.284430279302812,0.186533457049099,0,0,0
"SRR8375298",0,0.121243079089684,0,0.027414097111428,0.363550755874017,0,0.0671833096260456,0.165669141897316,0.133067490217611,0.121872126183897
"SRR8375299",0,0.0354428376326251,0,0.0872172505924572,0.117294662771151,0,0,0.191966851522703,0,0.568078397481063
"SRR8375300",0,0,0,0,0.266215656059192,0,0,0.733784343940807,0,0
"SRR8375301",0.169147096069267,0.0714870373190412,0,0,0,0,0.267843575089522,0,0.361513944371124,0.130008347151045
"SRR8375302",0,0.0192788903164152,0,0,0.573224322240186,0,0,0.407496787443398,0,0
"SRR8375304",0,0,0.0413227848369779,0,0,0,0.0231179273411855,0.261881371449192,0,0.673677916372644
"SRR8375305",0.148438080332217,0.35044555175027,0.126533991580378,0,0,0.145989311381117,0.228593064956018,0,0,0
"SRR8375306",0.401044777915926,0.0224268581470705,0.136059440942882,0,0,0.326924628500942,0.11354429449318,0,0,0
"SRR8375313",0.00341691127264182,0.260103120902082,0.113240157132933,0,0.26407972417492,0,0,0.359160086517423,0,0
"SRR8375314",0.287500441580244,0.0392616882092319,0,0,0,0.255364084415985,0.175718639280009,0,0,0.242155146514529
"SRR8375315",0,0.0324882969749142,0,0,0.525288225681568,0,0,0.338002886965964,0.0133782574305936,0.0908423329469603
"SRR8375317",0.0875737357314325,0.0632516958846752,0,0.0846783511638448,0,0.490025312447975,0.274470904772073,0,0,0
"SRR8375318",0.132692171566591,0.288504953602314,0,0.00955396161011347,0.124338677937894,0.0534492794286479,0.118526351154111,0.149299182904319,0.115945674779651,0.00768974701635966
"SRR8375319",0.108377357150308,0.263096722686587,0.101076634939647,0.00339040376269022,0,0.160946288255795,0.320124486329624,0,0.0429881068753478,0
"SRR8375320",0,0.175718273693614,0,0,0.368340882989032,0,0,0.187182614192331,0.10651998018087,0.162238248944153
"SRR8375322",0,0,0,0,0.441446229436625,0,0,0.558553770563374,0,0
"SRR8375323",0.0980685616393783,0.165553123450167,0,0.00258938419059539,0.197661522955134,0.00359833522262662,0.159242041520911,0.228580119354784,0.0926536624128038,0.0520532492535986
"SRR8375330",0.35124579401301,0.079240595905851,0.185826175217118,0,0.015590655216533,0.123771657335967,0.24432512231152,0,0,0
